Publicly confirmed as deceased as of 5pm this day,Date published by DHSC,UK Cumulative count of deaths by reported date ,UK Daily count of deaths by reported date 
05/03/2020,06/03/2020,1,1
06/03/2020,07/03/2020,2,1
07/03/2020,08/03/2020,2,0
08/03/2020,09/03/2020,3,1
09/03/2020,10/03/2020,7,4
10/03/2020,11/03/2020,7,0
11/03/2020,12/03/2020,9,2
12/03/2020,13/03/2020,10,1
13/03/2020,14/03/2020,28,18
14/03/2020,15/03/2020,43,15
15/03/2020,16/03/2020,65,22
16/03/2020,17/03/2020,81,16
17/03/2020,18/03/2020,115,34
18/03/2020,19/03/2020,158,43
19/03/2020,20/03/2020,194,36
20/03/2020,21/03/2020,250,56
21/03/2020,22/03/2020,285,35
22/03/2020,23/03/2020,359,74
23/03/2020,24/03/2020,508,149
24/03/2020,25/03/2020,695,187
25/03/2020,26/03/2020,878,183
26/03/2020,27/03/2020,1162,284
27/03/2020,28/03/2020,1456,294
28/03/2020,29/03/2020,1670,214
29/03/2020,30/03/2020,2044,374
30/03/2020,31/03/2020,2426,382
31/03/2020,01/04/2020,3096,670
01/04/2020,02/04/2020,3748,652
02/04/2020,03/04/2020,4462,714
03/04/2020,04/04/2020,5222,760
04/04/2020,05/04/2020,5866,644
05/04/2020,06/04/2020,6434,568
06/04/2020,07/04/2020,7472,1038
07/04/2020,08/04/2020,8506,1034
08/04/2020,09/04/2020,9616,1110
09/04/2020,10/04/2020,10768,1152
10/04/2020,11/04/2020,11608,840
11/04/2020,12/04/2020,12294,686
12/04/2020,13/04/2020,13038,744
13/04/2020,14/04/2020,14085,1047
14/04/2020,15/04/2020,14927,842
15/04/2020,16/04/2020,15956,1029
16/04/2020,17/04/2020,16892,936
17/04/2020,18/04/2020,18007,1115
18/04/2020,19/04/2020,18505,498
19/04/2020,20/04/2020,19064,559
20/04/2020,21/04/2020,20237,1173
21/04/2020,22/04/2020,21074,837
22/04/2020,23/04/2020,21801,727
23/04/2020,24/04/2020,22807,1006
24/04/2020,25/04/2020,23650,843
25/04/2020,26/04/2020,24070,420
26/04/2020,27/04/2020,24408,338
27/04/2020,28/04/2020,25319,911
28/04/2020,29/04/2020,26114,765
29/04/2020,30/04/2020,26788,674
30/04/2020,01/05/2020,27528,740
01/05/2020,02/05/2020,28149,621
02/05/2020,03/05/2020,28464,315
03/05/2020,04/05/2020,28752,288
04/05/2020,05/05/2020,29446,694
05/05/2020,06/05/2020,30098,652
06/05/2020,07/05/2020,30638,540
07/05/2020,08/05/2020,31265,627
08/05/2020,09/05/2020,31611,346
09/05/2020,10/05/2020,31879,269
10/05/2020,11/05/2020,32090,211
11/05/2020,12/05/2020,32720,630
12/05/2020,13/05/2020,33216,496
13/05/2020,14/05/2020,33644,428
14/05/2020,15/05/2020,34028,384
15/05/2020,16/05/2020,34508,480
16/05/2020,17/05/2020,34678,170
17/05/2020,18/05/2020,34838,160
18/05/2020,19/05/2020,35386,548
19/05/2020,20/05/2020,35755,369
20/05/2020,21/05/2020,36093,338
21/05/2020,22/05/2020,36451,358
22/05/2020,23/05/2020,36734,283
23/05/2020,24/05/2020,37175,441
24/05/2020,25/05/2020,37297,122
25/05/2020,26/05/2020,37433,136
26/05/2020,27/05/2020,37876,443
27/05/2020,28/05/2020,38292,416
28/05/2020,29/05/2020,38665,373
29/05/2020,30/05/2020,38895,230
30/05/2020,31/05/2020,39010,115
31/05/2020,01/06/2020,39121,111
01/06/2020,02/06/2020,39447,326
02/06/2020,03/06/2020,39812,365
03/06/2020,04/06/2020,39989,177
04/06/2020,05/06/2020,40347,358
05/06/2020,06/06/2020,40554,207
06/06/2020,07/06/2020,40631,77
07/06/2020,08/06/2020,40686,55
08/06/2020,09/06/2020,40975,289
09/06/2020,10/06/2020,41225,250
10/06/2020,11/06/2020,41377,152
11/06/2020,12/06/2020,41581,204
12/06/2020,13/06/2020,41764,183
13/06/2020,14/06/2020,41800,36
14/06/2020,15/06/2020,41838,38
15/06/2020,16/06/2020,42074,236
16/06/2020,17/06/2020,42258,184
17/06/2020,18/06/2020,42395,137
18/06/2020,19/06/2020,42568,173
19/06/2020,20/06/2020,42698,130
20/06/2020,21/06/2020,42741,43
21/06/2020,22/06/2020,42756,15
22/06/2020,23/06/2020,42927,171
23/06/2020,24/06/2020,43081,154
24/06/2020,25/06/2020,43230,149
25/06/2020,26/06/2020,43414,186
26/06/2020,27/06/2020,43514,100
27/06/2020,28/06/2020,43550,36
28/06/2020,29/06/2020,43575,25
29/06/2020,30/06/2020,43730,155
30/06/2020,01/07/2020,43906,176
01/07/2020,02/07/2020,43995,89
02/07/2020,03/07/2020,44131,137
03/07/2020,04/07/2020,44198,67
04/07/2020,05/07/2020,44220,22
05/07/2020,06/07/2020,44236,16
06/07/2020,07/07/2020,44391,155
07/07/2020,08/07/2020,44517,126
08/07/2020,09/07/2020,44602,85
09/07/2020,10/07/2020,44650,48
10/07/2020,11/07/2020,44798,148
11/07/2020,12/07/2020,44819,21
12/07/2020,13/07/2020,44830,11
13/07/2020,14/07/2020,44968,138
14/07/2020,15/07/2020,45053,85
15/07/2020,16/07/2020,45119,66
16/07/2020,17/07/2020,N/A,N/A
17/07/2020,18/07/2020,N/A,N/A
18/07/2020,19/07/2020,N/A,N/A
19/07/2020,20/07/2020,N/A,N/A
20/07/2020,21/07/2020,N/A,N/A
21/07/2020,22/07/2020,N/A,N/A
22/07/2020,23/07/2020,N/A,N/A
23/07/2020,24/07/2020,N/A,N/A
24/07/2020,25/07/2020,N/A,N/A
25/07/2020,26/07/2020,N/A,N/A
26/07/2020,27/07/2020,N/A,N/A
27/07/2020,28/07/2020,N/A,N/A
28/07/2020,29/07/2020,N/A,N/A
29/07/2020,30/07/2020,N/A,N/A
30/07/2020,31/07/2020,N/A,N/A
31/07/2020,01/08/2020,N/A,N/A
01/08/2020,02/08/2020,N/A,N/A
02/08/2020,03/08/2020,N/A,N/A
03/08/2020,04/08/2020,N/A,N/A
04/08/2020,05/08/2020,N/A,N/A
05/08/2020,06/08/2020,N/A,N/A
06/08/2020,07/08/2020,N/A,N/A
07/08/2020,08/08/2020,N/A,N/A
08/08/2020,09/08/2020,N/A,N/A
09/08/2020,10/08/2020,N/A,N/A
10/08/2020,11/08/2020,N/A,N/A
